volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.65,17.0,40.0,3.29,0.55,9.5,5.0
0.715,31.0,43.0,3.41,0.57,11.8,6.0
0.33,9.0,20.0,3.38,0.77,12.7,7.0
0.58,15.0,50.0,3.58,0.67,12.5,6.0
0.48,6.0,16.0,3.24,0.53,10.3,5.0
0.59,43.0,60.0,3.1,0.42,9.2,5.0
0.43,14.0,23.0,3.35,0.61,11.3,6.0
0.26,11.0,27.0,3.21,0.8,9.4,6.0
0.53,6.0,14.0,3.05,0.74,11.5,7.0
0.54,16.0,112.0,3.27,0.61,9.4,5.0
0.64,26.0,46.0,3.47,0.45,11.0,5.0
0.62,8.0,24.0,3.48,0.53,9.0,5.0
0.4,10.0,47.0,3.38,0.77,10.5,7.0
1.0,7.0,37.0,3.32,0.55,9.0,6.0
0.48,31.0,54.0,3.3,0.65,10.0,7.0
0.68,32.0,54.0,3.51,0.66,11.3,6.0
0.88,12.0,20.0,3.53,0.56,9.9,5.0
0.33,5.0,22.0,3.26,0.74,11.2,7.0
0.42,15.0,42.0,3.31,0.64,9.0,5.0
0.645,14.0,57.0,3.37,0.46,10.3,5.0
0.935,11.0,86.0,3.43,0.64,11.3,4.0
0.64,5.0,11.0,3.37,0.69,10.1,7.0
0.37,3.0,8.0,3.27,0.58,11.0,5.0
0.53,33.0,89.0,3.26,0.46,9.6,6.0
0.51,16.0,86.0,3.34,0.64,9.5,6.0
0.35,33.0,75.0,3.4,0.58,9.5,6.0
0.78,12.0,66.0,3.0,1.17,9.2,5.0
0.21,10.0,24.0,3.07,0.84,9.2,7.0
0.77,30.0,92.0,3.2,0.58,9.2,5.0
0.53,23.0,77.0,3.18,0.77,13.0,5.0
0.6,11.0,73.0,3.2,0.45,9.3,5.0
0.64,15.0,33.0,3.44,0.63,11.3,6.0
0.28,7.0,12.0,3.25,0.55,12.3,7.0
0.29,35.0,53.0,3.27,1.01,12.4,7.0
0.65,17.0,38.0,3.34,0.74,11.7,7.0
0.61,8.0,25.0,3.69,0.73,10.5,5.0
0.4,9.0,29.0,3.28,0.49,11.3,7.0
0.38,6.0,13.0,3.22,0.65,11.6,7.0
0.76,26.0,52.0,3.51,0.6,11.5,6.0
0.4,7.0,17.0,3.08,0.67,9.3,6.0
0.73,5.0,13.0,3.2,0.52,9.5,5.0
0.56,15.0,24.0,3.4,0.82,11.2,6.0
0.46,18.0,77.0,3.15,0.51,9.4,5.0
0.18,36.0,109.0,2.89,0.44,12.7,6.0
0.38,5.0,12.0,3.36,0.55,11.4,6.0
0.53,3.0,19.0,3.16,0.46,9.8,5.0
0.49,6.0,15.0,3.02,0.93,12.0,6.0
0.57,27.0,73.0,3.32,0.48,9.2,5.0
0.5,8.0,17.0,3.32,0.71,10.5,6.0
0.49,13.0,24.0,3.41,0.83,11.3,6.0
0.815,17.0,34.0,3.58,0.89,12.3,7.0
0.61,48.0,59.0,3.61,0.7,11.5,6.0
0.47,7.0,14.0,3.4,0.58,10.9,4.0
0.52,10.0,35.0,3.34,0.57,10.0,5.0
0.56,14.0,104.0,3.28,0.62,9.4,5.0
0.59,21.0,68.0,3.46,0.63,9.5,5.0
0.47,14.0,28.0,3.18,0.8,11.2,5.0
0.54,9.0,105.0,3.25,1.18,10.5,6.0
0.31,17.0,43.0,3.31,0.77,12.5,7.0
0.56,35.0,67.0,3.28,0.73,11.8,7.0
0.58,12.0,18.0,3.32,0.56,10.5,7.0
0.5,5.0,20.0,3.31,0.79,10.7,6.0
0.69,7.0,12.0,3.47,0.53,12.9,6.0
0.23,23.0,60.0,3.41,0.71,12.1,6.0
0.415,17.0,43.0,3.06,0.8,10.0,6.0
0.44,18.0,111.0,3.3,0.6,9.5,5.0
0.38,5.0,16.0,2.98,0.54,9.4,5.0
0.84,16.0,65.0,3.53,0.72,9.25,6.0
0.57,12.0,45.0,3.31,0.6,9.4,6.0
0.66,16.0,61.0,3.29,0.6,9.3,5.0
0.59,5.0,13.0,3.52,0.56,11.4,5.0
1.33,3.0,12.0,3.54,0.48,10.9,5.0
0.32,5.0,13.0,3.23,0.82,12.6,8.0
1.005,11.0,32.0,3.23,0.48,10.0,5.0
0.45,23.0,78.0,3.38,0.62,9.5,5.0
0.865,27.0,58.0,3.61,0.49,12.7,6.0
0.54,5.0,13.0,3.72,0.58,11.4,5.0
0.67,17.0,96.0,3.32,0.48,9.5,5.0
0.74,16.0,46.0,4.01,0.59,12.5,6.0
0.3,19.0,72.0,3.39,0.72,11.8,6.0
0.47,7.0,20.0,3.32,0.63,10.5,5.0
0.57,23.0,144.0,3.27,0.55,9.4,5.0
0.31,22.0,46.0,3.32,0.67,9.7,6.0
0.95,7.0,20.0,3.2,0.56,9.6,5.0
0.52,11.0,32.0,3.56,0.63,11.6,6.0
0.3,9.0,28.0,3.2,0.77,10.8,7.0
0.39,12.0,30.0,3.18,0.63,10.8,7.0
0.47,14.0,28.0,3.18,0.8,11.2,5.0
0.43,7.0,34.0,3.36,0.61,10.5,5.0
0.55,12.0,72.0,3.05,0.63,9.2,5.0
0.49,10.0,26.0,3.16,0.78,12.5,7.0
0.59,25.0,48.0,3.14,0.56,9.7,5.0
0.615,18.0,72.0,3.31,0.53,9.7,5.0
0.395,14.0,28.0,3.62,0.67,12.4,6.0
0.54,39.0,55.0,3.39,0.84,11.4,6.0
0.63,27.0,43.0,3.44,0.64,10.9,6.0
0.57,9.0,27.0,3.36,0.7,9.6,6.0
0.33,3.0,13.0,3.23,1.1,10.0,8.0
0.42,32.0,55.0,3.34,0.75,8.7,6.0
0.41,21.0,43.0,3.32,0.57,10.5,6.0
0.4,8.0,24.0,3.24,0.69,10.6,6.0
0.28,17.0,60.0,3.16,0.58,9.8,6.0
0.36,24.0,44.0,3.4,0.85,11.0,7.0
0.42,23.0,55.0,3.78,0.64,12.3,7.0
0.53,5.0,19.0,3.3,0.86,12.4,6.0
0.69,33.0,141.0,3.25,0.51,9.9,5.0
0.295,14.0,21.0,3.14,0.51,10.9,6.0
0.715,5.0,20.0,3.12,0.59,9.9,5.0
0.45,3.0,6.0,3.13,0.63,10.4,5.0
0.68,12.0,22.0,3.48,0.5,9.3,5.0
0.37,23.0,49.0,3.28,0.67,9.3,5.0
0.885,4.0,8.0,3.36,0.33,9.1,4.0
0.4,30.0,47.0,3.36,0.48,9.4,6.0
0.53,6.0,25.0,3.12,0.59,9.3,6.0
0.5,21.0,39.0,3.33,0.83,11.1,6.0
0.24,8.0,22.0,3.22,0.94,10.9,6.0
0.725,10.0,62.0,3.35,0.56,10.0,6.0
0.55,14.0,56.0,3.21,0.6,10.9,6.0
0.35,20.0,53.0,3.42,0.65,11.0,6.0
0.49,9.0,31.0,3.39,0.64,9.6,5.0
0.51,13.0,31.0,3.36,0.54,10.5,6.0
0.6,25.0,99.0,3.35,0.54,10.1,5.0
0.63,17.0,88.0,3.53,0.58,9.8,6.0
0.65,8.0,25.0,3.47,0.67,9.5,6.0
0.62,28.0,52.0,3.31,0.62,10.8,5.0
0.34,6.0,15.0,2.94,0.66,9.2,6.0
0.69,19.0,38.0,3.35,0.6,9.3,5.0
0.6,9.0,38.0,3.15,0.53,9.8,5.0
0.55,26.0,35.0,3.32,0.82,11.6,6.0
0.68,21.0,94.0,3.54,0.52,10.0,5.0
0.36,24.0,44.0,3.4,0.85,11.0,7.0
0.45,3.0,6.0,3.13,0.63,10.4,5.0
0.52,51.0,70.0,3.34,0.82,12.9,6.0
0.61,36.0,60.0,3.1,0.4,9.3,5.0
0.58,15.0,115.0,3.23,0.59,9.5,5.0
0.35,20.0,88.0,3.15,0.43,9.4,5.0
0.88,25.0,67.0,3.2,0.68,9.8,5.0
0.53,15.0,24.0,3.29,0.66,10.8,6.0
0.51,13.0,22.0,3.4,0.84,11.2,6.0
0.5,5.0,14.0,3.32,0.62,11.5,6.0
0.27,20.0,29.0,3.26,0.56,11.3,6.0
0.41,12.0,31.0,3.26,0.65,10.2,5.0
0.915,15.0,39.0,3.53,0.54,11.1,5.0
0.74,15.0,48.0,3.12,0.48,10.0,5.0
0.48,16.0,25.0,3.28,0.66,12.4,6.0
0.48,21.0,122.0,3.32,0.62,9.4,5.0
0.735,15.0,77.0,3.27,0.64,9.3,5.0
0.835,13.0,93.0,3.57,0.85,13.0,7.0
0.49,9.0,31.0,3.39,0.64,9.6,5.0
0.46,9.0,37.0,3.66,0.65,9.8,5.0
0.635,16.0,33.0,3.58,0.69,10.8,7.0
0.67,26.0,42.0,3.39,0.82,10.9,6.0
0.6,15.0,59.0,3.3,0.46,9.4,5.0
0.73,12.0,24.0,3.38,0.46,9.6,4.0
0.685,22.0,37.0,3.46,0.57,10.6,6.0
1.18,14.0,41.0,3.34,0.47,10.5,5.0
0.37,21.0,49.0,3.57,0.62,9.8,6.0
0.43,27.0,45.0,3.25,0.54,10.3,5.0
0.54,15.0,36.0,3.61,0.64,9.8,5.0
0.51,12.0,27.0,3.33,0.59,12.8,6.0
0.35,27.0,69.0,3.12,0.75,10.4,6.0
0.67,17.0,34.0,3.28,0.98,9.9,6.0
0.53,10.0,17.0,3.07,0.56,11.7,6.0
0.34,6.0,16.0,3.19,0.7,11.3,6.0
0.3,12.0,27.0,3.11,0.97,10.1,6.0
0.52,10.0,37.0,3.46,0.5,11.0,5.0
0.9,23.0,99.0,3.22,0.68,9.3,5.0
0.54,16.0,40.0,3.39,0.62,9.4,5.0
0.585,14.0,86.0,3.56,0.94,12.9,7.0
0.4,10.0,47.0,3.38,0.77,10.5,7.0
0.59,31.0,119.0,3.15,0.5,9.1,5.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.85,12.0,88.0,3.56,0.82,12.9,8.0
0.62,27.0,63.0,3.28,0.61,9.2,5.0
0.63,21.0,119.0,3.09,0.52,9.3,5.0
0.28,10.0,24.0,3.2,0.89,9.4,6.0
0.38,5.0,13.0,3.15,0.75,10.5,6.0
0.38,7.0,35.0,3.33,0.47,9.5,5.0
0.88,35.0,155.0,3.41,0.67,11.2,5.0
0.49,19.0,133.0,2.93,1.98,9.8,5.0
0.45,10.0,18.0,3.22,0.65,9.3,6.0
0.46,12.0,35.0,3.1,0.56,9.0,6.0
0.74,10.0,45.0,3.24,0.5,9.8,5.0
1.09,12.0,31.0,3.51,0.43,11.4,4.0
0.825,5.0,13.0,3.37,0.77,10.7,6.0
0.59,34.0,53.0,3.41,0.67,9.7,5.0
0.725,9.0,17.0,3.35,0.49,10.8,6.0
0.61,13.0,38.0,3.48,0.65,9.8,5.0
0.965,16.0,32.0,3.58,0.67,10.2,5.0
0.66,23.0,113.0,3.13,0.48,9.2,5.0
0.63,66.0,115.0,3.22,0.56,9.5,5.0
0.38,6.0,19.0,3.42,0.57,9.4,5.0
0.28,4.0,10.0,3.33,0.7,12.8,7.0
0.41,8.0,45.0,3.06,1.26,9.4,5.0
0.44,15.0,38.0,3.01,1.1,9.4,5.0
0.56,19.0,58.0,3.18,0.56,10.1,6.0
0.5,48.0,82.0,3.16,0.75,8.8,5.0
0.77,16.0,74.0,3.27,0.5,9.8,6.0
0.36,9.0,23.0,3.23,0.76,12.0,6.0
1.04,19.0,32.0,3.52,0.57,11.0,4.0
0.42,33.0,88.0,3.19,0.52,9.2,5.0
0.6,3.0,7.0,3.22,0.37,13.0,5.0
0.39,9.0,21.0,3.39,0.66,11.6,6.0
0.735,13.0,54.0,3.39,0.57,9.8,5.0
0.56,5.0,27.0,3.08,0.87,10.9,5.0
0.71,14.0,35.0,3.47,0.55,9.4,5.0
0.33,9.0,30.0,3.12,0.54,12.0,6.0
0.32,17.0,56.0,3.04,1.08,9.2,6.0
0.4,29.0,80.0,3.49,0.66,13.6,6.0
0.36,18.0,38.0,3.38,0.88,13.6,7.0
0.59,9.0,14.0,3.42,0.55,11.5,7.0
0.45,20.0,38.0,3.24,0.71,10.8,5.0
0.55,21.0,66.0,3.25,0.56,9.2,5.0
0.635,15.0,55.0,3.31,0.57,10.4,4.0
0.35,11.0,61.0,3.21,0.5,9.5,5.0
0.27,6.0,18.0,3.2,1.13,12.0,7.0
0.42,24.0,60.0,3.31,0.7,10.8,6.0
0.69,22.0,91.0,3.29,0.62,10.1,5.0
0.52,8.0,15.0,3.4,0.63,9.4,6.0
0.32,15.0,47.0,3.05,0.61,10.6,5.0
0.34,31.0,68.0,3.45,0.48,9.4,5.0
0.61,17.0,87.0,3.48,0.6,9.7,6.0
0.725,4.0,11.0,3.41,0.39,10.9,5.0
0.64,25.0,130.0,3.23,0.54,9.6,5.0
0.4,5.0,12.0,3.34,0.56,9.2,5.0
0.6,17.0,91.0,3.29,0.56,9.8,6.0
0.49,8.0,14.0,3.21,0.9,10.5,6.0
0.645,14.0,57.0,3.37,0.46,10.3,5.0
0.46,15.0,37.0,3.36,0.49,10.7,5.0
0.45,21.0,50.0,3.37,0.91,9.9,6.0
0.5,12.0,46.0,3.43,0.62,10.7,6.0
0.5,17.0,99.0,3.63,0.63,13.0,5.0
0.37,6.0,26.0,3.18,0.51,9.5,5.0
0.37,3.0,8.0,3.27,0.58,11.0,5.0
0.58,27.0,46.0,3.02,0.47,9.2,5.0
0.58,27.0,60.0,3.28,0.59,9.8,5.0
0.7,14.0,27.0,3.44,0.58,10.2,5.0
0.59,35.0,73.0,3.28,0.7,9.5,6.0
0.605,19.0,25.0,3.56,0.55,12.9,5.0
0.62,27.0,90.0,3.16,0.7,9.4,5.0
0.29,9.0,30.0,3.41,0.53,9.5,6.0
0.29,25.0,60.0,3.31,0.61,10.1,6.0
0.885,31.0,145.0,3.24,0.53,9.4,5.0
0.16,24.0,52.0,3.34,0.71,11.2,6.0
0.47,7.0,29.0,3.08,0.46,9.5,5.0
0.46,15.0,37.0,3.36,0.49,10.7,5.0
0.675,17.0,82.0,3.35,0.54,10.1,5.0
0.67,13.0,20.0,3.42,0.67,11.3,6.0
0.66,17.0,42.0,3.31,0.54,9.6,6.0
0.735,10.0,41.0,3.24,0.71,9.8,6.0
0.42,12.0,29.0,3.24,0.75,11.7,7.0
0.63,15.0,27.0,3.32,0.54,9.5,6.0
0.58,12.0,18.0,3.32,0.56,10.5,7.0
0.49,17.0,144.0,3.2,0.55,9.5,5.0
0.875,4.0,14.0,3.44,0.52,11.5,5.0
0.21,10.0,24.0,3.07,0.84,9.2,7.0
0.86,20.0,57.0,3.6,0.74,11.7,6.0
0.49,20.0,136.0,2.93,1.95,9.9,6.0
0.33,29.0,48.0,3.32,0.88,12.4,7.0
0.58,5.0,14.0,3.21,1.03,11.6,6.0
0.855,15.0,23.0,3.54,0.6,11.0,6.0
0.41,29.0,55.0,3.26,0.88,11.0,5.0
0.51,13.0,31.0,3.36,0.54,10.5,6.0
0.62,7.0,54.0,3.36,0.52,9.4,5.0
0.64,5.0,77.0,3.13,0.62,9.1,6.0
0.55,20.0,53.0,3.14,0.61,9.4,5.0
0.4,2.0,45.0,3.31,0.91,9.5,6.0
0.61,6.0,20.0,3.29,0.6,10.2,6.0
0.61,5.0,10.0,3.42,0.6,9.5,5.0
0.6,20.0,110.0,3.3,1.17,10.2,5.0
0.575,12.0,65.0,3.29,0.51,9.2,5.0
0.55,7.0,17.0,3.26,0.64,9.4,6.0
0.44,22.0,53.0,3.32,0.62,9.3,5.0
0.41,16.0,43.0,3.48,0.64,9.1,5.0
1.04,32.0,96.0,3.74,0.62,11.5,5.0
0.28,10.0,22.0,3.39,0.68,10.6,5.0
0.74,21.0,77.0,3.28,0.51,9.8,5.0
0.64,11.0,119.0,3.36,0.7,10.9,5.0
0.75,9.0,30.0,3.34,0.64,10.5,5.0
0.41,12.0,25.0,3.34,0.79,13.3,7.0
0.28,6.0,12.0,3.26,0.62,12.4,7.0
0.41,11.0,37.0,3.16,0.67,10.8,5.0
0.34,6.0,15.0,2.94,0.66,9.2,6.0
0.54,16.0,40.0,3.39,0.62,9.4,5.0
0.63,17.0,91.0,3.26,0.58,9.8,6.0
0.67,6.0,13.0,3.17,0.71,9.5,6.0
0.5,7.0,24.0,3.09,0.68,10.9,6.0
0.42,7.0,21.0,3.26,0.93,11.8,6.0
0.715,10.0,52.0,3.23,0.77,9.5,5.0
0.895,7.0,13.0,3.53,0.58,10.8,6.0
0.26,11.0,27.0,3.21,0.8,9.4,6.0
0.75,12.0,80.0,3.38,0.52,10.1,5.0
0.48,18.0,30.0,3.45,0.54,11.2,6.0
0.6,25.0,99.0,3.35,0.54,10.1,5.0
0.6,9.0,38.0,3.15,0.53,9.8,5.0
0.92,12.0,93.0,3.48,0.54,9.8,5.0
0.66,9.0,59.0,3.28,0.54,9.6,5.0
0.26,10.0,25.0,3.18,0.61,11.8,5.0
0.845,5.0,14.0,3.32,0.58,11.0,4.0
0.695,12.0,20.0,3.29,0.54,10.1,5.0
0.43,6.0,16.0,3.35,0.7,12.5,6.0
0.53,7.0,27.0,3.2,0.56,10.2,6.0
0.47,18.0,38.0,3.16,0.85,11.1,6.0
0.59,19.0,58.0,3.5,0.65,9.3,6.0
0.755,6.0,12.0,3.34,0.49,9.7,4.0
0.28,4.0,10.0,3.33,0.7,12.8,7.0
0.59,20.0,47.0,3.26,0.67,9.6,5.0
0.53,16.0,72.0,3.15,0.57,9.4,5.0
0.7,20.0,35.0,3.4,0.69,10.9,5.0
0.32,3.0,8.0,3.15,0.73,11.4,6.0
0.39,47.0,133.0,3.38,0.99,9.8,5.0
0.4,30.0,45.0,3.26,0.58,10.0,5.0
0.48,40.0,64.0,3.12,0.49,9.6,5.0
0.59,35.0,121.0,3.37,0.49,9.4,5.0
0.32,3.0,9.0,3.27,0.55,12.3,6.0
0.39,14.0,67.0,3.34,0.55,9.2,5.0
0.65,15.0,21.0,3.39,0.47,10.0,7.0
0.57,4.0,9.0,3.16,0.54,9.8,6.0
0.64,27.0,55.0,3.31,0.63,11.0,5.0
0.73,5.0,13.0,3.2,0.52,9.5,5.0
0.53,17.0,31.0,3.33,0.56,10.0,6.0
0.55,39.0,51.0,3.52,0.76,11.2,6.0
0.42,32.0,59.0,3.33,0.77,12.0,6.0
0.55,12.0,37.0,3.17,0.67,9.6,5.0
0.775,8.0,86.0,3.23,0.59,9.5,5.0
0.38,16.0,49.0,3.19,0.7,10.0,7.0
0.3,18.0,61.0,3.44,0.78,10.3,6.0
0.58,28.0,109.0,3.08,0.49,9.8,6.0
0.62,8.0,46.0,3.32,0.51,11.8,6.0
0.38,6.0,10.0,3.13,0.58,11.9,7.0
0.695,3.0,13.0,3.49,0.52,9.2,5.0
0.665,8.0,19.0,3.27,0.73,9.3,5.0
0.43,28.0,128.0,3.42,0.71,10.5,5.0
0.42,22.0,47.0,3.39,0.78,10.0,6.0
0.61,11.0,65.0,3.54,0.58,9.3,5.0
0.43,10.0,48.0,3.34,0.46,9.4,5.0
0.56,25.0,42.0,3.34,0.59,9.2,5.0
0.935,22.0,114.0,3.25,0.73,9.2,5.0
0.34,30.0,52.0,3.44,0.58,10.1,5.0
0.63,51.0,77.5,3.2,0.45,9.5,5.0
0.43,28.0,128.0,3.42,0.71,10.5,5.0
0.6,36.0,121.0,3.37,0.49,9.4,5.0
0.72,20.0,38.0,3.4,0.53,9.5,5.0
0.46,32.0,58.0,3.33,0.54,9.8,5.0
0.38,7.0,35.0,3.33,0.47,9.5,5.0
0.37,28.0,65.0,3.16,0.59,9.8,5.0
0.36,35.0,70.0,3.44,0.5,9.4,5.0
0.43,8.0,32.0,2.89,0.5,9.6,5.0
0.33,54.0,80.0,3.3,0.76,10.7,7.0
0.27,6.0,16.0,3.28,0.7,9.7,5.0
0.44,6.0,14.0,3.51,0.69,11.0,6.0
0.58,34.0,124.0,3.44,0.48,10.5,5.0
0.53,29.0,44.0,3.38,0.83,10.3,6.0
0.59,3.0,16.0,3.42,0.92,10.5,7.0
0.5,8.0,22.0,3.31,0.56,10.4,6.0
0.645,8.0,28.0,3.28,0.6,10.0,6.0
0.52,8.0,65.0,3.9,0.56,13.1,4.0
0.67,6.0,20.0,3.4,0.63,10.1,5.0
0.48,26.0,52.0,3.31,0.53,10.5,6.0
0.42,6.0,18.0,3.29,0.61,9.2,6.0
0.4,6.0,19.0,3.27,0.82,11.7,7.0
0.43,27.0,51.0,3.49,0.64,10.4,5.0
0.53,30.0,52.0,3.19,0.76,11.6,7.0
0.89,7.0,60.0,2.99,1.18,10.2,5.0
0.22,1.0,28.0,3.41,0.87,10.3,6.0
0.37,39.0,145.0,3.04,1.03,9.3,5.0
0.44,11.0,24.0,3.29,0.99,12.0,7.0
0.36,19.0,42.0,3.57,0.57,11.7,6.0
0.34,8.0,19.0,3.35,0.6,11.4,6.0
0.35,28.0,48.0,3.43,0.54,10.0,4.0
0.805,7.0,20.0,3.48,0.56,9.6,5.0
0.545,27.0,61.0,3.36,0.67,10.7,6.0
0.5,3.0,22.0,3.25,0.63,9.2,5.0
0.68,9.0,23.0,3.38,0.6,10.3,5.0
0.48,3.0,10.0,3.21,0.59,12.1,7.0
0.38,33.0,85.0,3.39,0.77,11.4,6.0
0.44,34.0,48.0,3.38,0.86,9.9,3.0
0.34,12.0,57.0,3.3,0.47,9.0,6.0
0.58,14.0,63.0,3.17,0.62,9.1,6.0
0.69,21.0,58.0,3.46,0.72,10.2,5.0
0.26,6.0,10.0,3.2,0.72,10.2,7.0
0.735,68.0,124.0,3.47,0.53,9.9,5.0
0.82,21.0,64.0,3.16,0.53,9.4,5.0
0.61,10.0,42.0,3.19,0.59,9.5,5.0
0.625,27.0,119.0,3.16,1.12,9.1,4.0
0.5,15.0,26.0,3.36,0.45,9.5,5.0
0.45,12.0,87.0,3.33,0.83,10.5,5.0
0.57,12.0,89.0,3.04,0.9,10.1,5.0
0.36,19.0,35.0,3.37,0.93,12.4,6.0
0.96,15.0,60.0,3.36,0.44,10.9,5.0
0.53,10.0,17.0,3.07,0.56,11.7,6.0
0.59,11.0,18.0,3.41,0.59,10.8,7.0
0.42,8.0,20.0,3.09,0.53,11.0,5.0
0.82,36.0,48.0,3.2,0.58,9.8,5.0
0.27,6.0,18.0,3.2,1.13,12.0,7.0
0.51,6.0,15.0,3.09,0.66,11.8,7.0
0.46,7.0,18.0,3.32,0.79,14.0,6.0
0.695,12.0,20.0,3.29,0.54,10.1,5.0
0.6,5.0,15.0,3.36,0.49,9.1,5.0
0.6,13.0,28.0,3.52,0.62,10.2,7.0
0.685,23.0,143.0,3.28,0.55,9.4,5.0
0.56,36.0,46.0,3.53,0.57,10.6,5.0
0.28,28.0,68.0,3.36,0.66,11.2,5.0
0.58,8.0,21.0,3.27,0.72,9.6,5.0
0.64,29.0,53.0,3.24,0.67,9.9,5.0
0.63,6.0,26.0,3.07,0.6,10.4,4.0
0.43,15.0,28.0,3.35,0.81,10.6,6.0
0.55,14.0,56.0,3.21,0.6,10.9,6.0
0.66,21.0,59.0,3.37,0.71,11.5,7.0
0.36,17.0,24.0,3.24,0.7,11.4,8.0
0.32,3.0,15.0,3.2,0.78,9.6,5.0
0.21,11.0,32.0,3.22,0.68,11.7,6.0
0.835,4.0,11.0,3.39,0.52,10.0,5.0
0.86,13.0,28.0,3.25,0.62,10.0,5.0
0.69,23.0,81.0,3.48,0.74,11.6,6.0
0.615,7.0,42.0,3.07,0.73,10.0,7.0
0.33,10.0,19.0,3.3,0.73,12.0,7.0
0.43,10.0,37.0,3.17,0.91,9.5,5.0
0.66,6.0,11.0,3.35,0.66,12.7,7.0
0.46,16.0,45.0,3.03,1.34,9.2,5.0
0.61,13.0,38.0,3.48,0.65,9.8,5.0
0.64,15.0,33.0,3.44,0.63,11.3,6.0
0.84,5.0,13.0,3.41,0.57,11.0,4.0
0.38,12.0,42.0,3.16,0.61,10.3,5.0
0.58,3.0,9.0,3.33,0.57,10.3,4.0
0.19,57.0,135.0,3.32,0.44,9.5,5.0
0.33,13.0,25.0,3.36,0.76,12.4,7.0
0.57,4.0,11.0,3.46,0.68,9.5,5.0
0.54,15.0,36.0,3.61,0.64,9.8,5.0
