volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
1.07,10,89,3.3,0.57,9,5
0.55,14,56,3.21,0.6,10.9,6
0.695,3,13,3.49,0.52,9.2,5
0.71,11,34,3.44,0.53,9.5,5
0.5,21,102,3.39,0.48,9.5,5
0.62,27,90,3.16,0.7,9.4,5
1.33,3,12,3.53,0.49,10.9,5
1.33,3,12,3.54,0.48,10.9,5
0.59,3,16,3.42,0.92,10.5,7
0.38,6,19,3.42,0.57,9.4,5
0.745,30,134,3.24,0.66,9.4,5
0.5,17,99,3.63,0.63,13,5
0.5,17,99,3.63,0.63,13,5
0.5,17,26,3.4,0.58,9.8,6
1.04,13,29,3.22,0.55,,6
0.745,16,63,3.19,0.82,,5
0.715,10,52,3.23,0.77,,5
0.415,13,45,3.48,0.64,9.2,5
0.56,15,105,3.33,0.54,9.5,5
0.56,17,108,3.32,0.54,9.5,5
0.745,16,63,3.19,0.82,9.6,5
0.715,10,52,3.23,0.77,9.5,5
0.34,27,63,3.68,0.79,14,6
0.39,3,20,3.34,0.58,9.4,5
0.34,27,63,3.68,0.79,14,6
0.67,32,141,3.17,0.62,9.4,5
0.68,21,94,3.54,0.52,10,5
0.49,10,88,3.11,0.8,9.3,5
0.49,12,30,3.42,0.58,10.2,6
0.4,11,43,3.53,0.61,10.5,6
0.33,5,11,3.33,0.53,10.3,6
0.52,32,69,2.74,2,9.4,4
0.6,25,99,3.35,0.54,10.1,5
0.6,25,99,3.35,0.54,10.1,5
0.43,29,129,3.42,0.72,10.5,5
0.43,28,128,3.42,0.71,10.5,5
0.43,29,,3.42,0.72,10.5,5
0.43,28,128,3.42,0.71,10.5,5
0.68,12,22,3.48,0.5,9.3,5
0.6,18,86,3.59,0.57,9.3,6
0.95,7,20,3.2,0.56,9.6,5
0.68,9,20,3.17,1.08,9.2,4
0.53,17,31,3.33,0.56,10,6
0.6,36,121,3.37,0.49,9.4,5
0.59,35,121,3.37,0.49,9.4,5
0.63,14,96,3.19,0.62,9.5,5
0.64,18,101,3.34,0.52,10.2,5
0.55,17,42,3.37,0.48,9,4
0.63,11,44,3.47,0.55,10.4,6
0.705,15,63,3,1.59,9.5,5
0.885,4,8,3.36,0.33,9.1,4
0.42,6,18,3.29,0.61,9.2,6
0.42,6,18,3.29,0.61,9.2,6
0.62,24,42,3.42,0.57,11.5,6
0.38,7,35,3.33,0.47,9.5,5
0.5,19,49,3.35,0.78,9.5,5
0.38,7,35,3.33,0.47,9.5,5
0.52,8,38,3.58,0.61,10.5,6
0.805,7,20,3.48,0.56,9.6,5
0.61,10,42,3.19,0.59,9.5,5
0.61,10,42,3.19,0.59,9.5,5
0.61,23,110,3.12,1.02,9.3,5
0.73,16,42,3.44,0.52,9.3,5
0.61,11,65,3.54,0.58,9.3,5
0.62,,62,3.52,0.58,9.3,6
0.31,26,85,3.26,0.53,9.7,5
0.39,14,67,3.34,0.55,9.2,5
0.705,9,26,3.39,0.49,9.7,5
0.5,15,143,3.2,0.55,9.5,5
0.49,17,144,3.2,0.55,9.5,5
0.5,21,127,3.23,0.62,9.4,5
0.37,21,49,3.57,0.62,9.8,6
0.63,16,126,3.28,0.61,9.5,5
0.55,7,28,3.28,0.55,9.7,5
0.55,7,28,3.28,0.55,9.7,5
0.59,24,120,3.25,0.54,9.4,5
0.58,15,55,3.46,0.59,10.2,5
0.3,12,27,3.11,0.97,10.1,6
0.835,13,93,3.57,0.85,13,7
1.09,12,31,3.51,0.43,11.4,4
0.32,9,24,3.22,0.82,10.3,7
0.37,39,145,3.04,1.03,9.3,5
0.5,16,49,3.36,0.79,9.5,5
0.42,16,39,,0.55,9.2,5
0.43,14,37,,0.56,9.2,6
0.3,9,28,3.2,0.77,10.8,7
0.3,9,28,3.2,0.77,10.8,7
0.57,26,120,3.29,0.53,9.3,5
0.44,18,95,3.22,0.67,9.4,5
0.3,7,19,3.31,0.88,10.5,7
0.53,5,19,3.3,0.86,12.4,6
0.725,10,62,3.35,0.56,10,6
0.44,5,15,3.21,0.67,10.2,6
0.57,28,65,3.3,0.43,10.1,5
0.735,10,41,3.24,0.71,9.8,6
0.49,26,121,3.34,0.76,10.5,5
0.625,13,49,3.14,0.57,11,5
0.725,11,41,3.36,0.55,9.1,5
0.49,10,44,3.39,0.54,9.7,5
0.53,24,144,3.3,0.6,9.5,5
0.34,24,58,3.34,0.59,9.4,6
0.53,16,72,3.15,0.57,9.4,5
0.61,5,10,3.42,0.6,9.5,5
0.645,8,28,3.28,0.6,10,6
0.635,15,55,3.31,0.57,10.4,4
0.43,29,63,3.37,0.58,10.5,6
0.59,27,81,3.04,1.61,9.5,6
0.82,9,23,3.39,0.63,9.8,5
0.43,29,63,3.37,0.58,10.5,6
0.52,10,37,3.46,0.5,11,5
0.48,19,106,3.54,0.62,12.2,7
0.38,12,49,3.37,0.52,9.9,6
0.37,18,58,3.34,0.7,9.6,6
0.52,10,37,3.46,0.5,11,5
1,7,37,3.32,0.55,9,6
0.63,14,38,3.37,0.58,9,6
0.63,14,38,3.37,0.58,9,6
0.645,15,39,,0.58,9.2,6
0.63,14,38,,0.58,9,6
1,7,37,3.32,0.55,9,6
0.635,5,62,3,1.09,9.3,5
0.38,6,24,3.14,0.71,10.9,6
0.58,28,109,3.08,0.49,9.8,6
0.21,10,24,3.07,0.84,9.2,7
0.21,10,24,3.07,0.84,9.2,7
0.66,6,23,3.61,0.96,9.9,6
0.68,16,51,3.38,0.52,9.5,5
0.6,11,73,3.2,0.45,9.3,5
0.53,9,39,3.35,0.48,9.8,6
0.66,6,23,3.61,0.96,9.9,6
0.32,16,37,3.22,0.78,10,6
0.6,16,34,3.47,0.7,9.9,6
0.35,5,21,3.17,0.53,10.5,5
0.775,8,86,3.23,0.59,9.5,5
0.6,16,34,3.47,0.7,9.9,6
0.57,17,119,3.26,0.57,9.3,5
0.34,5,13,3.22,0.62,9.2,5
0.695,12,56,3.49,0.67,9.2,5
0.41,8,45,3.06,1.26,9.4,5
0.31,14,33,3.36,0.8,10.5,7
0.33,18,45,3.29,0.65,9.3,5
0.975,12,67,3.35,0.6,9.4,4
0.52,10,35,3.34,0.57,10,5
0.37,23,49,3.28,0.67,9.3,5
0.56,5,27,3.08,0.87,10.9,5
0.26,6,10,3.2,0.72,10.2,7
0.87,26,61,3.6,0.72,9.8,4
0.35,15,37,3.35,0.86,12.8,8
0.54,7,27,3.69,0.91,9.4,6
0.18,4,23,3.28,0.97,10.1,6
0.545,27,61,3.36,0.67,10.7,6
0.18,4,23,3.28,0.97,10.1,6
0.37,17,65,3.22,0.78,10.1,5
0.715,10,38,3.31,0.64,9.4,5
0.65,27,94,3.38,0.77,9.4,5
0.545,27,61,3.36,0.67,10.7,6
0.54,7,27,3.69,0.91,9.4,6
0.18,4,23,3.28,0.97,10.1,6
0.32,5,13,3.23,0.82,12.6,8
0.4,10,47,3.38,0.77,10.5,7
0.26,6,19,3.12,0.82,9.3,6
0.27,5,10,3.25,1.08,9.9,7
0.52,12,53,3.36,0.57,9.1,5
0.4,10,47,3.38,0.77,10.5,7
0.59,32,71,3.31,0.71,9.8,5
0.59,,71,3.31,0.71,9.8,5
0.45,,49,3.1,0.76,10.3,6
0.4,,53,3.37,0.7,10.3,6
0.52,,49,3.34,0.86,10.6,7
0.42,33,98,3.2,0.95,9.2,5
0.52,20,49,3.34,0.86,10.6,7
0.2,6,18,3.3,0.71,10.5,5
0.55,18,48,3.22,0.64,10.3,6
0.36,5,16,3.41,0.6,10.1,6
0.34,17,53,3.05,0.81,9.5,6
0.5,5,27,3.05,0.64,9.5,5
0.83,26,70,3.16,0.52,9.9,
0.63,8,29,3.67,0.73,9.6,
0.65,5,31,3.67,0.8,9.7,
0.67,8,33,3.68,0.71,9.6,5
0.53,20,44,3.38,0.59,10.7,6
0.18,7,15,3.22,0.64,10.1,6
0.705,12,28,3.51,0.72,10,5
0.67,5,21,3.39,0.54,9.5,5
0.65,12,90,3.2,0.52,9.2,5
0.53,6,25,3.12,0.59,9.3,6
0.62,7,54,3.36,0.52,9.4,5
0.41,6,14,3.19,0.62,9.5,6
0.43,5,12,3.19,0.63,9.5,6
0.29,9,30,3.41,0.53,9.5,6
0.53,6,25,3.12,0.59,9.3,6
0.53,15,105,3.27,0.54,9.4,6
0.46,19,98,3.32,0.63,9.5,6
0.47,30,135,3.3,0.53,9.4,5
0.36,26,72,3.39,0.68,11,5
0.35,20,53,3.42,0.65,11,6
0.56,37,92,3.3,0.65,10.1,5
0.77,30,74,3.3,0.64,10.4,6
0.66,21,59,3.37,0.71,11.5,7
0.77,30,74,3.3,0.64,10.4,6
0.66,21,59,3.37,0.71,11.5,7
0.61,25,87,3.24,0.62,9.7,5
0.62,6,18,3.29,0.63,9.3,5
0.59,35,73,3.28,0.7,9.5,6
0.49,13,50,3.16,0.69,9.2,6
0.49,13,50,3.16,0.69,9.2,6
0.53,6,14,3.05,0.74,11.5,7
0.44,5,13,3.28,0.83,11.5,5
0.27,6,21,3.16,0.67,9.7,6
0.46,7,15,3.18,0.62,9.5,5
0.36,10,41,3.23,0.66,12.5,6
0.36,10,41,3.23,0.66,12.5,6
0.58,21,114,3.22,0.54,9.4,6
0.56,16,44,3.13,0.52,11,5
0.65,17,38,3.34,0.74,11.7,7
0.695,7,21,3.17,0.84,12.2,7
0.43,6,16,3.35,0.7,12.5,6
0.43,29,58,3.31,0.64,10.3,5
0.49,28,,3.16,1,11.5,6
0.28,12,,3.11,1.36,9.8,7
0.34,10,,3.12,1.18,9.2,6
0.42,5,,3.21,0.87,11.3,6
0.39,6,,3.3,0.75,9.8,6
0.39,6,,3.3,0.75,9.8,6
0.57,6,,3.12,0.78,10.7,6
0.685,40,63,3.6,0.81,9.9,5
0.815,17,34,3.58,0.89,12.3,7
0.49,6,15,3.02,0.93,12,6
0.56,15,46,3.11,0.92,10,6
0.785,11,28,3.36,0.86,9.4,6
0.67,17,34,3.28,0.98,9.9,6
0.795,11,26,3.35,0.83,9.4,6
0.665,8,19,3.27,0.73,9.3,5
0.53,23,77,3.18,0.77,13,5
0.21,40.5,165,3.25,0.59,11.9,6
0.75,17,32,3.55,0.61,12.8,6
0.41,29,55,3.26,0.88,11,5
0.42,12,29,3.24,0.75,11.7,7
0.43,10,23,3.15,0.85,10.4,7
0.38,10,41,3.17,0.68,9.8,6
0.7,14,81,3.19,0.7,9.4,5
0.45,21,50,3.37,0.91,9.9,6
0.58,6,37,3.05,0.56,10,5
0.46,6,15,,0.87,10.2,5
0.615,7,42,3.07,0.73,10,7
0.42,7,21,3.26,0.93,11.8,6
0.615,7,42,3.07,0.73,10,7
0.575,11,24,3.16,0.69,9,5
0.34,15,75,3.18,0.64,9.4,5
0.27,6,18,3.2,1.13,12,7
0.765,35,63,3.57,0.78,9.9,5
0.24,11,25,3.32,0.87,8.7,6
0.28,26,46,3.32,1.04,10.6,6
0.55,12,72,3.05,0.63,9.2,5
0.41,6,47,3.01,0.81,10.8,6
0.54,6,15,3.01,0.83,11.8,7
0.45,19,47,3.26,1.11,11,6
0.27,6,18,3.2,1.13,12,7
0.625,6,24,3.11,0.99,13.3,6
0.42,24,60,3.31,0.7,10.8,6
0.26,11,27,3.21,0.8,9.4,6
0.415,17,43,3.06,0.8,10,6
0.26,11,27,3.21,0.8,9.4,6
0.26,11,27,3.21,0.8,9.4,6
0.51,23,54,3.42,0.74,9.2,5
0.63,11,37,3.43,0.76,9.7,6
0.54,23,48,3.41,0.74,9.2,6
0.66,17,42,3.31,0.54,9.6,6
0.46,23,53,3.43,0.74,9.2,6
0.38,16,49,3.19,0.7,10,7
0.85,12,88,3.56,0.82,12.9,8
0.415,17,43,3.06,0.8,10,6
0.37,6,26,3.18,0.51,9.5,5
0.665,13,95,3.16,0.54,9.1,5
0.6,6,25,3.03,0.57,9.9,5
0.37,7,38,3.22,0.6,13,7
0.735,68,124,3.47,0.53,9.9,5
0.59,13,49,3.18,0.65,11,6
0.59,13,49,3.18,0.65,11,6
0.765,9,42,3.1,0.55,9.4,5
0.735,68,124,3.47,0.53,9.9,5
0.26,20,38,3.29,0.47,10.8,6
0.48,19,64,3.1,0.61,10.5,6
0.6,10,41,3.15,0.63,10.5,6
0.69,15,27,3.26,0.61,9.1,5
0.31,11,25,3.36,0.76,10.1,6
0.44,9,28,3.24,0.65,10.8,6
0.39,12,30,3.18,0.63,10.8,7
0.34,6,16,3.19,0.7,11.3,6
0.46,26,49,3.05,0.57,9.6,4
0.43,26,86,3.38,,9.5,6
0.45,23,78,3.38,0.62,9.5,5
0.735,15,77,3.27,0.64,9.3,5
0.4,6,19,3.27,0.82,11.7,7
0.52,24,122,3.26,0.61,9.5,5
0.725,31,134,3.32,1.07,9.3,5
0.48,6,20,3.26,0.66,11.7,6
0.58,34,124,3.44,0.48,10.5,5
0.38,7,20,3.24,0.76,10.4,6
0.77,34,52,3.62,0.68,9.9,5
0.56,35,67,3.28,0.73,11.8,7
0.84,32,48,3.52,0.56,12.3,7
0.96,15,60,3.36,0.44,10.9,5
0.24,6,24,3.15,0.9,11,7
0.96,15,60,3.36,0.44,10.9,5
0.84,32,48,3.52,0.56,12.3,7
0.67,19,48,3.49,0.49,11.4,6
0.78,6,32,3.26,0.56,10.6,6
0.52,9,30,3.24,0.6,9.3,5
0.84,13,35,3.1,0.6,10.4,6
0.24,6,24,3.15,0.9,11,7
0.55,21,66,3.25,0.56,9.2,5
0.37,12,24,3,0.65,12.8,
0.39,6,18,3.16,0.49,9.5,
0.41,22,54,3.15,0.89,9.9,
0.39,6,18,3.16,0.49,9.5,
0.67,38,62,3.26,0.56,10.2,
0.45,6,22,3.17,0.66,11.2,
0.41,22,54,3.15,0.89,9.9,
0.62,7,50,3.08,0.6,9.3,
0.31,6,29,2.88,0.82,9.8,
0.4,7,27,3.06,0.68,11.3,
0.685,6,43,2.95,0.68,11.2,
0.44,11,19,3.23,0.63,11.6,
0.57,5,27,3.57,0.84,12.5,
0.735,6,31,3.23,0.56,10.1,
0.38,31,72,3.1,0.73,10.5,
0.48,6,16,3.22,0.72,11.2,5
0.53,7,27,3.2,0.56,10.2,6
0.39,17,35,3.1,0.61,10.8,6
0.39,17,35,3.1,0.61,10.8,6
0.37,9,26,3.06,1.06,9.1,6
0.56,18,35,3.44,0.63,10,6
0.33,5,22,3.26,0.74,11.2,7
0.23,21,67,3.5,0.63,11.1,5
0.62,6,19,3.22,0.69,13.4,8
0.59,5,22,3.37,0.58,10.3,5
0.63,29,65,3.28,0.58,9.6,5
0.33,5,22,3.26,0.74,11.2,7
0.58,10,47,3.25,0.57,9,3
0.43,14,23,3.35,0.61,11.3,6
0.615,6,19,3.26,0.61,9.3,5
0.26,10,25,3.18,0.61,11.8,5
0.66,25,129,3.08,0.53,9,5
0.315,5,15,2.98,0.7,9.2,6
0.29,10,26,3.48,0.91,9.7,5
0.5,21,51,3.16,0.72,11.5,6
0.46,7,18,3.32,0.79,14,6
0.36,6,21,3.17,0.62,9.2,6
0.82,36,48,3.2,0.58,9.8,5
0.32,15,47,3.05,0.61,10.6,5
0.54,25,52,3.2,0.71,11.4,6
0.37,25,,3.15,0.82,10.4,6
0.35,5,14,3.26,0.79,10.6,5
0.28,10,24,3.2,0.89,9.4,6
0.68,5,28,3.14,0.6,10.2,5
0.27,6,16,3.28,0.7,9.7,5
0.24,6,20,3.18,1.06,11,6
0.68,5,28,3.14,0.6,10.2,5
0.685,6,31,3.19,0.7,10.1,6
0.28,6,23,3.12,0.66,9.2,5
0.3,6,17,3.15,0.92,11.7,8
0.36,6,18,3.04,1.05,9.4,5
0.36,7,18,3.04,1.06,9.4,5
0.44,6,24,3.06,0.66,13.4,6
0.67,6,17,,0.47,10,5
0.67,6,17,,0.47,10,5
0.645,5,14,3.17,0.42,10,6
0.32,35,67,3.32,0.92,10.8,7
0.39,10,26,3.34,0.75,10.2,6
0.775,24,56,3.31,0.67,10.6,6
0.41,12,25,3.34,0.79,13.3,7
0.4,13,27,3.32,0.9,13.4,7
0.69,23,81,3.48,0.74,11.6,6
0.39,28,91,3.44,0.55,12.1,6
0.35,5,16,3.15,0.65,11,8
0.52,14,38,3.43,0.65,9,6
0.34,43,113,3.32,0.79,11.1,5
0.35,5,16,3.15,0.65,11,8
0.69,23,81,3.48,0.74,11.6,6
0.52,14,38,3.43,0.65,9,6
0.44,38,76,3.17,0.85,12,7
0.44,38,76,3.17,0.85,12,7
0.26,6,24,3.18,1.04,10.9,7
0.24,6,22,3.21,1.05,10.8,7
0.49,10,26,3.16,0.78,12.5,7
0.24,6,21,3.25,1.02,10.8,7
0.67,6,13,3.17,0.71,9.5,6
0.59,26,62,3.18,,10.2,6
0.29,23,43,3.04,0.68,11.4,7
0.42,19,43,3.02,0.61,9.5,5
0.59,26,62,3.18,0.63,10.2,6
0.4,15,49,3.03,0.81,9.7,6
0.51,6,15,3.09,0.66,11.8,7
0.51,6,15,3.09,0.66,11.8,7
0.655,34,151,3.31,1.14,9.3,5
0.6,5,14,3.25,0.74,11.9,6
0.61,5,16,3.16,0.63,8.4,3
0.21,11,32,3.22,0.68,11.7,6
0.365,39,106,3.36,0.78,11,5
0.25,15,33,3.42,0.9,10,6
0.41,16,43,3.48,0.64,9.1,5
0.39,47,133,3.38,0.99,9.8,5
0.4,38,142,3.22,0.55,9.4,5
0.43,23,116,3.23,0.64,9.5,5
0.64,29,53,3.24,0.67,9.9,5
0.365,39,106,3.36,0.78,11,5
0.38,33,85,3.39,0.77,11.4,6
0.42,32,55,3.34,0.75,8.7,6
0.63,6,33,3.09,0.57,9.4,5
0.22,1,28,3.41,0.87,10.3,6
0.38,12,42,3.16,0.61,10.3,5
0.38,12,42,3.16,0.61,10.3,5
0.27,15,33,3.22,0.66,12.8,6
0.48,13,32,3.28,0.56,10,6
0.22,1,28,3.41,0.87,10.3,6
0.63,6,33,3.09,0.57,9.4,5
0.825,5,13,3.37,0.77,10.7,6
0.35,5,35,3.2,0.66,12,7
0.5,5,17,3.22,0.62,11.2,5
0.59,20,47,3.26,0.67,9.6,5
0.46,5,17,3.21,0.73,11,6
0.715,5,20,3.12,0.59,9.9,5
0.66,16,53,3.06,0.72,11,6
0.31,6,15,2.86,0.79,8.4,6
0.47,38,106,3.08,0.59,9.1,5
0.55,10,28,3.45,0.78,9.5,6
0.31,6,21,3.26,0.86,10.7,6
0.35,27,69,3.12,0.75,10.4,6
0.53,6,25,3.27,0.61,9.4,
0.51,9,25,3.33,0.56,9.5,
0.43,14,45,3.19,0.73,10,
0.46,14,44,3.12,0.74,10,
1.04,32,96,3.74,0.62,11.5,5
0.645,10,23,2.92,0.74,11.1,5
0.645,10,23,2.92,0.74,11.1,5
0.53,10,17,3.07,0.56,11.7,6
0.645,10,23,2.92,0.74,11.1,5
0.53,10,17,3.07,0.56,11.7,6
0.47,6,47,3.3,0.68,12.7,6
0.6,5,19,3.14,0.57,11.4,5
0.44,26,121,3.23,0.58,9.2,5
0.54,41,110,3.08,0.61,9.2,5
0.29,25,60,3.31,0.61,10.1,6
0.47,6,47,3.3,0.68,12.7,6
0.6,5,19,3.14,0.57,11.4,5
0.7,5,15,3.32,0.6,9,6
0.7,5,15,3.32,0.6,9,6
0.5,5,20,3.31,0.79,10.7,6
0.36,19,42,3.57,0.57,11.7,6
0.35,10,37,3.32,0.91,11,6
0.36,19,42,3.57,0.57,11.7,6
0.24,10,28,3.14,0.61,10.4,5
0.59,14,47,3.3,0.56,9.6,4
0.34,20,78,3.19,0.7,10,6
0.27,28,46,3.2,0.8,10.2,6
0.5,6,14,,0.52,10,4
0.44,18,111,3.3,0.6,9.5,5
0.47,17,110,3.29,0.6,9.8,5
0.31,18,40,3.14,0.51,9.8,6
0.5,5,14,3.19,0.44,9.6,5
0.5,5,14,3.19,0.44,9.6,5
0.49,5,15,3.19,0.43,9.2,5
0.28,10,21,2.98,0.66,9.9,7
0.33,54,80,3.3,0.76,10.7,7
0.51,8,38,3.47,0.66,9.6,6
0.31,16,47,3.12,1.02,10.6,7
0.73,18,102,3.26,0.59,9.3,5
0.42,19,50,3.72,0.74,14,8
0.29,5,13,3.05,0.74,10.5,7
0.45,21,75,3.35,0.57,9.7,5
0.39,23,149,3.12,0.5,11.5,6
0.45,21,75,3.35,0.57,9.7,5
0.49,9,43,3.29,0.58,9,5
0.72,20,38,3.4,0.53,9.5,5
0.595,30,109,3.27,0.57,9.3,5
0.4,6,24,3.04,0.6,9.3,6
0.58,5,18,3.09,0.63,10,6
0.585,5,30,3.2,0.48,9.8,6
0.59,11,22,3,0.7,9.3,6
0.915,7,23,3.26,0.47,10,4
0.46,12,35,3.1,0.56,9,6
0.835,6,14,3.3,0.52,9.3,5
0.46,12,35,3.1,0.56,9,6
0.58,14,63,3.17,0.62,9.1,6
0.6,6,24,3.31,0.59,9.2,6
0.41,10,20,3.34,0.79,12.2,7
0.48,26,52,3.31,0.53,10.5,6
0.65,11,65,3.32,,10.4,6
0.36,15,39,3.56,,12.7,6
0.24,25,57,3.39,0.54,9.2,5
0.38,5,16,2.98,0.54,9.4,5
0.64,18,29,3.32,0.6,10,6
0.39,10,29,3.26,0.74,9.8,5
0.755,10,103,2.87,1.36,10.2,6
0.6,28,,3.5,0.57,9.7,5
0.6,28,71,3.5,0.57,9.7,5
0.31,14,28,3.03,0.93,9.8,6
0.46,4,17,3.13,0.7,10.2,5
0.37,6,16,3.09,0.8,9.3,5
0.54,16,112,3.27,0.61,9.4,5
0.56,14,104,3.28,0.62,9.4,5
0.58,9,32,3.13,0.55,9.5,5
0.51,21,45,3.49,0.96,12.1,6
0.69,21,58,3.46,0.72,10.2,5
0.69,21,58,3.46,0.72,10.2,5
0.6,5,15,3.36,0.49,9.1,5
0.6,5,15,3.36,0.49,9.1,5
0.54,7,31,3.27,0.6,9.3,6
0.685,20,84,3.21,0.61,9.3,5
0.54,,31,3.27,0.6,9.3,6
0.28,5,19,3.25,0.63,9.5,5
0.41,21,43,3.32,0.57,10.5,6
0.935,11,86,3.43,0.64,11.3,4
0.35,46,102,3.27,0.58,9.5,5
0.84,24,33,3.27,0.55,9.7,5
0.88,30,147,3.24,0.53,9.4,5
0.885,31,145,3.24,0.53,9.4,5
0.915,7,23,3.35,0.65,10.2,7
0.29,25,57,3.18,1.36,10.3,6
0.54,16,40,3.39,0.62,9.4,5
0.59,21,68,3.46,0.63,9.5,5
0.54,16,40,3.39,0.62,9.4,5
0.59,21,68,3.46,0.63,9.5,5
0.54,16,40,3.39,0.62,9.4,5
0.64,5,11,3.37,0.69,10.1,7
0.67,6,20,3.4,0.63,10.1,5
0.845,5,14,3.32,0.58,11,4
0.48,10,28,3.33,0.67,11.2,7
0.42,24,148,3.16,0.57,11.3,6
