volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.52,8.0,65.0,3.9,0.56,13.1,4.0
0.6,14.0,45.0,3.38,0.54,11.0,5.0
0.45,10.0,18.0,3.22,0.65,9.3,6.0
0.63,15.0,64.0,3.46,0.79,9.3,5.0
0.65,27.0,94.0,3.38,0.77,9.4,5.0
0.35,5.0,35.0,3.2,0.66,12.0,7.0
0.61,24.0,88.0,3.3,0.53,9.8,5.0
0.5,5.0,14.0,3.19,0.44,9.6,5.0
0.41,22.0,36.0,3.41,0.75,11.1,6.0
0.58,6.0,37.0,3.05,0.56,10.0,5.0
0.62,52.0,145.0,3.16,0.88,9.2,5.0
0.57,32.0,64.0,3.43,0.56,11.2,6.0
0.77,30.0,92.0,3.2,0.58,9.2,5.0
0.6,25.0,99.0,3.35,0.54,10.1,5.0
0.24,13.0,27.0,3.14,0.59,11.3,7.0
0.64,32.0,133.0,3.27,0.45,9.9,5.0
0.98,15.0,33.0,3.6,0.46,11.2,6.0
0.63,6.0,26.0,3.07,0.6,10.4,4.0
0.48,18.0,30.0,3.45,0.54,11.2,6.0
0.32,28.0,83.0,3.28,0.82,9.6,5.0
0.41,35.0,72.0,3.44,0.52,9.4,5.0
0.46,15.0,37.0,3.36,0.49,10.7,5.0
0.73,5.0,13.0,3.2,0.52,9.5,5.0
0.31,7.0,16.0,3.31,0.79,11.8,7.0
0.56,10.0,22.0,3.22,0.44,9.6,5.0
0.35,11.0,47.0,3.27,0.81,11.0,6.0
0.46,28.0,54.0,3.37,0.64,10.4,6.0
0.52,14.0,38.0,3.43,0.65,9.0,6.0
0.35,9.0,26.0,3.36,0.6,11.9,6.0
0.4,30.0,45.0,3.26,0.58,10.0,5.0
0.38,6.0,10.0,3.13,0.58,11.9,7.0
0.41,25.0,101.0,3.13,0.53,10.0,5.0
0.6,9.0,38.0,3.15,0.53,9.8,5.0
0.37,23.0,49.0,3.28,0.67,9.3,5.0
0.44,5.0,15.0,3.21,0.67,10.2,6.0
0.46,15.0,37.0,3.36,0.49,10.7,5.0
0.67,17.0,96.0,3.32,0.48,9.5,5.0
0.41,11.0,37.0,3.16,0.67,10.8,5.0
0.39,12.0,53.0,3.36,0.62,12.2,6.0
0.58,3.0,13.0,3.62,0.62,11.5,4.0
0.54,5.0,13.0,3.72,0.58,11.4,5.0
0.705,12.0,28.0,3.51,0.72,10.0,5.0
0.58,7.0,28.0,3.35,0.52,10.0,5.0
0.42,7.0,21.0,3.26,0.93,11.8,6.0
0.26,8.0,23.0,3.26,0.7,9.6,6.0
0.32,5.0,13.0,3.23,0.82,12.6,8.0
0.41,10.0,20.0,3.34,0.79,12.2,7.0
0.53,10.0,17.0,3.07,0.56,11.7,6.0
0.59,31.0,119.0,3.15,0.5,9.1,5.0
0.3,19.0,72.0,3.39,0.72,11.8,6.0
0.54,23.0,48.0,3.41,0.74,9.2,6.0
0.64,11.0,119.0,3.36,0.7,10.9,5.0
0.37,4.0,15.0,3.3,0.8,11.2,6.0
0.54,5.0,13.0,3.72,0.58,11.4,5.0
0.82,26.0,96.0,3.36,0.53,10.0,5.0
0.415,17.0,43.0,3.06,0.8,10.0,6.0
0.63,51.0,77.5,3.2,0.45,9.5,5.0
0.34,8.0,19.0,3.35,0.6,11.4,6.0
0.725,29.0,79.0,3.29,0.54,9.2,5.0
0.6,6.0,24.0,3.31,0.59,9.2,6.0
0.725,11.0,41.0,3.36,0.55,9.1,5.0
0.18,4.0,23.0,3.28,0.97,10.1,6.0
0.55,17.0,42.0,3.37,0.48,9.0,4.0
0.42,16.0,42.0,3.71,0.74,14.0,7.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.75,11.0,18.0,3.39,0.4,12.8,6.0
0.59,13.0,49.0,3.18,0.65,11.0,6.0
0.44,14.0,19.0,3.25,0.57,10.4,6.0
0.4,1.0,44.0,3.3,0.92,9.5,6.0
0.58,14.0,63.0,3.17,0.62,9.1,6.0
0.655,7.0,12.0,3.34,0.39,9.5,5.0
0.62,16.0,37.0,3.31,0.58,10.7,6.0
0.29,25.0,57.0,3.18,1.36,10.3,6.0
0.31,6.0,15.0,2.86,0.79,8.4,6.0
0.44,38.0,76.0,3.17,0.85,12.0,7.0
0.34,41.0,68.0,3.37,0.54,10.1,6.0
0.36,35.0,70.0,3.44,0.5,9.4,5.0
0.26,42.0,74.0,2.98,0.63,11.8,8.0
0.66,7.0,15.0,3.52,0.58,12.9,5.0
0.365,39.0,106.0,3.36,0.78,11.0,5.0
0.53,20.0,44.0,3.38,0.59,10.7,6.0
0.595,30.0,109.0,3.27,0.57,9.3,5.0
0.35,6.0,11.0,3.23,0.52,12.0,6.0
0.635,16.0,33.0,3.58,0.69,10.8,7.0
0.66,6.0,23.0,3.61,0.96,9.9,6.0
0.635,25.0,60.0,3.29,0.75,10.9,6.0
0.31,26.0,35.0,3.22,0.59,12.5,7.0
0.34,21.0,37.0,3.35,0.77,12.1,7.0
0.855,15.0,23.0,3.54,0.6,11.0,6.0
0.58,23.0,94.0,3.21,0.58,9.5,6.0
0.33,13.0,25.0,3.36,0.76,12.4,7.0
0.49,6.0,15.0,3.02,0.93,12.0,6.0
0.45,21.0,75.0,3.35,0.57,9.7,5.0
0.48,13.0,32.0,3.28,0.56,10.0,6.0
0.66,17.0,45.0,3.46,0.54,9.5,5.0
0.5,15.0,26.0,3.36,0.45,9.5,5.0
0.27,17.0,25.0,3.38,0.72,10.6,6.0
0.36,10.0,41.0,3.23,0.66,12.5,6.0
0.56,16.0,56.0,3.11,1.28,9.3,5.0
0.6,16.0,34.0,3.47,0.7,9.9,6.0
0.82,21.0,64.0,3.16,0.53,9.4,5.0
0.45,12.0,21.0,3.21,0.75,10.2,6.0
0.65,8.0,15.0,3.35,0.62,10.4,6.0
0.315,5.0,15.0,2.98,0.7,9.2,6.0
0.42,33.0,88.0,3.19,0.52,9.2,5.0
0.43,6.0,39.0,3.33,0.46,11.9,6.0
0.21,11.0,32.0,3.22,0.68,11.7,6.0
0.655,34.0,151.0,3.31,1.14,9.3,5.0
0.46,7.0,18.0,3.32,0.79,14.0,6.0
0.605,40.0,83.0,3.45,0.52,9.4,6.0
0.51,12.0,28.0,3.52,0.73,9.5,6.0
0.585,5.0,30.0,3.2,0.48,9.8,6.0
0.51,13.0,31.0,3.36,0.54,10.5,6.0
0.29,35.0,53.0,3.27,1.01,12.4,7.0
0.61,13.0,38.0,3.48,0.65,9.8,5.0
0.315,3.0,6.0,3.27,0.67,11.9,6.0
0.6,18.0,88.0,3.53,0.55,9.5,5.0
0.38,27.0,90.0,3.15,0.65,8.5,5.0
0.28,4.0,10.0,3.33,0.7,12.8,7.0
0.51,40.0,54.0,3.54,0.93,10.7,6.0
0.36,26.0,65.0,3.46,0.62,9.5,6.0
0.66,9.0,59.0,3.28,0.54,9.6,5.0
0.38,7.0,20.0,3.24,0.76,10.4,6.0
0.6,31.0,131.0,3.21,0.52,9.9,5.0
0.545,13.0,35.0,3.3,0.59,9.0,6.0
0.6,12.0,26.0,3.55,0.51,12.1,5.0
0.49,28.0,87.0,3.5,0.82,14.0,8.0
1.58,5.0,9.0,3.5,0.4,10.9,3.0
0.87,10.0,31.0,3.25,0.5,9.8,5.0
0.59,5.0,13.0,3.52,0.56,11.4,5.0
0.31,3.0,10.0,3.02,0.83,10.9,7.0
0.38,12.0,28.0,3.27,0.75,12.6,7.0
0.34,5.0,9.0,3.2,0.69,12.1,7.0
0.78,12.0,66.0,3.0,1.17,9.2,5.0
0.52,5.0,18.0,3.2,0.52,9.4,5.0
0.31,14.0,36.0,3.41,0.56,12.6,6.0
0.39,47.0,133.0,3.38,0.99,9.8,5.0
0.67,26.0,42.0,3.39,0.82,10.9,6.0
0.795,28.0,52.0,3.49,0.52,11.6,5.0
0.665,8.0,19.0,3.27,0.73,9.3,5.0
0.42,24.0,60.0,3.31,0.7,10.8,6.0
0.28,18.0,34.0,3.28,0.9,11.3,7.0
0.51,23.0,54.0,3.42,0.74,9.2,5.0
0.88,12.0,20.0,3.53,0.56,9.9,5.0
0.6,17.0,91.0,3.29,0.56,9.8,6.0
0.665,27.0,55.0,3.39,0.51,9.3,5.0
0.52,21.0,92.0,3.5,0.6,9.8,5.0
0.37,9.0,26.0,3.06,1.06,9.1,6.0
0.72,18.0,49.0,3.43,0.72,11.1,6.0
0.36,17.0,24.0,3.24,0.7,11.4,8.0
0.59,6.0,29.0,3.38,0.5,9.0,4.0
0.735,68.0,124.0,3.47,0.53,9.9,5.0
0.55,7.0,28.0,3.28,0.55,9.7,5.0
0.46,32.0,98.0,3.33,0.62,9.8,5.0
0.48,31.0,54.0,3.3,0.65,10.0,7.0
0.755,6.0,12.0,3.34,0.49,9.7,4.0
0.63,16.0,126.0,3.28,0.61,9.5,5.0
0.24,8.0,22.0,3.22,0.94,10.9,6.0
0.565,16.0,112.0,3.38,0.61,9.5,5.0
0.53,5.0,19.0,3.3,0.86,12.4,6.0
0.2,6.0,18.0,3.3,0.71,10.5,5.0
0.44,32.0,38.0,3.32,0.58,11.4,6.0
0.69,15.0,27.0,3.26,0.61,9.1,5.0
0.42,9.0,34.0,3.24,0.77,12.1,7.0
0.54,38.0,89.0,3.3,0.5,10.55,6.0
0.58,27.0,46.0,3.02,0.47,9.2,5.0
0.4,7.0,16.0,3.21,0.69,12.5,8.0
0.64,7.0,49.0,3.35,0.68,10.3,5.0
0.25,15.0,33.0,3.42,0.9,10.0,6.0
0.43,29.0,63.0,3.37,0.58,10.5,6.0
0.5,10.0,23.0,3.53,0.61,10.4,5.0
0.62,8.0,46.0,3.32,0.51,11.8,6.0
0.33,54.0,80.0,3.3,0.76,10.7,7.0
0.715,5.0,20.0,3.12,0.59,9.9,5.0
0.62,15.0,85.0,3.51,0.54,9.5,5.0
0.935,22.0,114.0,3.25,0.73,9.2,5.0
0.34,5.0,10.0,3.27,0.54,11.2,7.0
0.38,6.0,24.0,3.14,0.71,10.9,6.0
0.645,10.0,23.0,2.92,0.74,11.1,5.0
0.46,7.0,15.0,3.18,0.62,9.5,5.0
0.32,3.0,15.0,3.2,0.78,9.6,5.0
0.44,5.0,13.0,3.28,0.83,11.5,5.0
0.57,4.0,9.0,3.16,0.54,9.8,6.0
0.2,7.0,15.0,3.32,0.8,11.9,7.0
0.39,23.0,71.0,3.52,0.65,9.7,5.0
0.41,6.0,14.0,3.21,0.49,11.8,7.0
0.78,45.0,87.0,3.48,0.53,10.0,5.0
0.6,13.0,28.0,3.52,0.62,10.2,7.0
0.51,13.0,22.0,3.4,0.84,11.2,6.0
0.975,12.0,67.0,3.35,0.6,9.4,4.0
0.7,20.0,35.0,3.4,0.69,10.9,5.0
0.58,12.0,18.0,3.32,0.56,10.5,7.0
0.36,4.0,8.0,3.36,0.55,12.8,7.0
0.53,15.0,29.0,3.35,0.61,12.1,6.0
0.48,10.0,18.0,3.37,0.68,11.2,7.0
0.41,9.0,42.0,3.54,0.66,10.5,5.0
0.53,7.0,27.0,3.2,0.56,10.2,6.0
0.715,13.0,27.0,3.57,0.5,11.9,5.0
0.49,3.0,14.0,3.27,0.78,10.9,6.0
0.49,27.0,85.0,3.41,0.58,9.0,5.0
0.43,5.0,12.0,3.19,0.63,9.5,6.0
0.22,29.0,60.0,3.39,0.53,9.4,6.0
0.915,7.0,23.0,3.26,0.47,10.0,4.0
0.44,34.0,48.0,3.38,0.86,9.9,3.0
0.27,7.0,26.0,3.17,0.53,12.5,6.0
0.42,5.0,16.0,3.27,0.74,12.3,6.0
0.685,20.0,84.0,3.21,0.61,9.3,5.0
0.59,21.0,68.0,3.46,0.63,9.5,5.0
0.59,17.0,104.0,3.28,0.52,9.9,5.0
0.66,25.0,129.0,3.08,0.53,9.0,5.0
0.415,13.0,45.0,3.48,0.64,9.2,5.0
0.48,29.0,61.0,3.34,0.6,10.4,5.0
0.52,42.0,140.0,3.23,0.54,9.5,5.0
0.58,12.0,69.0,3.32,0.7,11.0,6.0
0.68,5.0,28.0,3.14,0.6,10.2,5.0
0.53,6.0,25.0,3.12,0.59,9.3,6.0
0.4,10.0,47.0,3.38,0.77,10.5,7.0
0.49,13.0,26.0,3.38,0.64,9.8,6.0
0.58,3.0,9.0,3.33,0.57,10.3,4.0
0.6,31.0,131.0,3.21,0.52,9.9,5.0
0.48,6.0,20.0,3.26,0.66,11.7,6.0
0.12,10.0,21.0,3.41,0.76,11.9,7.0
0.65,15.0,21.0,3.39,0.47,10.0,7.0
0.55,18.0,48.0,3.22,0.64,10.3,6.0
0.54,17.0,31.0,3.37,0.51,10.4,6.0
0.56,10.0,21.0,3.15,0.49,9.9,5.0
0.51,6.0,15.0,3.09,0.66,11.8,7.0
0.74,16.0,26.0,3.67,0.56,11.6,6.0
0.33,18.0,80.0,3.37,0.8,9.6,6.0
0.62,27.0,63.0,3.28,0.61,9.2,5.0
0.33,7.0,13.0,3.3,0.62,12.1,7.0
0.29,12.0,37.0,3.25,0.58,9.5,5.0
0.665,13.0,95.0,3.16,0.54,9.1,5.0
0.58,15.0,55.0,3.46,0.59,10.2,5.0
0.61,23.0,110.0,3.12,1.02,9.3,5.0
0.45,21.0,50.0,3.37,0.91,9.9,6.0
0.73,5.0,13.0,3.2,0.52,9.5,5.0
0.63,27.0,43.0,3.44,0.64,10.9,6.0
0.37,21.0,42.0,3.24,0.81,10.8,7.0
0.705,6.0,15.0,3.44,0.58,10.7,5.0
0.57,9.0,27.0,3.36,0.7,9.6,6.0
0.36,7.0,18.0,3.04,1.06,9.4,5.0
0.4,3.0,10.0,3.28,0.56,12.0,4.0
0.52,6.0,13.0,3.22,0.76,11.4,6.0
0.41,6.0,14.0,3.19,0.62,9.5,6.0
0.57,26.0,120.0,3.29,0.53,9.3,5.0
0.655,5.0,35.0,3.25,0.42,9.6,5.0
0.31,15.0,28.0,3.42,0.7,10.0,7.0
0.61,6.0,20.0,3.29,0.6,10.2,6.0
0.36,32.0,79.0,3.3,0.72,11.0,6.0
0.825,5.0,13.0,3.37,0.77,10.7,6.0
0.4,6.0,20.0,3.15,0.5,10.5,5.0
0.46,9.0,37.0,3.66,0.65,9.8,5.0
0.43,27.0,51.0,3.49,0.64,10.4,5.0
0.53,14.0,31.0,3.5,0.67,11.0,4.0
0.84,13.0,35.0,3.1,0.6,10.4,6.0
0.69,22.0,91.0,3.29,0.62,10.1,5.0
0.37,7.0,38.0,3.22,0.6,13.0,7.0
0.49,27.0,85.0,3.41,0.58,9.0,5.0
0.38,31.0,70.0,3.42,0.59,9.5,6.0
0.5,17.0,26.0,3.4,0.58,9.8,6.0
0.32,12.0,19.0,3.17,0.55,10.4,6.0
0.57,21.0,41.0,3.41,0.52,10.8,5.0
0.61,10.0,42.0,3.19,0.59,9.5,5.0
0.62,27.0,90.0,3.16,0.7,9.4,5.0
0.63,17.0,69.0,3.26,0.63,10.2,6.0
0.675,4.0,11.0,3.31,0.65,9.55,5.0
0.64,15.0,33.0,3.44,0.63,11.3,6.0
0.4,8.0,24.0,3.24,0.69,10.6,6.0
0.63,17.0,91.0,3.26,0.58,9.8,6.0
0.62,28.0,52.0,3.31,0.62,10.8,5.0
0.9,9.0,17.0,3.5,0.63,10.9,6.0
0.57,28.0,65.0,3.3,0.43,10.1,5.0
0.38,31.0,70.0,3.42,0.59,9.5,6.0
0.42,23.0,55.0,3.78,0.64,12.3,7.0
0.43,29.0,58.0,3.31,0.64,10.3,5.0
0.43,28.0,128.0,3.42,0.71,10.5,5.0
0.59,19.0,58.0,3.5,0.65,9.3,6.0
0.765,9.0,42.0,3.1,0.55,9.4,5.0
0.53,29.0,44.0,3.38,0.83,10.3,6.0
0.33,5.0,11.0,3.33,0.53,10.3,6.0
0.42,15.0,48.0,3.21,0.59,10.0,5.0
0.44,38.0,76.0,3.17,0.85,12.0,7.0
0.5,5.0,14.0,3.29,0.52,10.7,6.0
0.675,11.0,43.0,3.31,0.53,9.2,4.0
0.58,8.0,22.0,3.38,0.49,11.7,5.0
0.67,18.0,27.0,3.44,0.54,9.4,5.0
0.48,16.0,25.0,3.28,0.66,12.4,6.0
0.39,34.0,125.0,3.14,1.22,9.5,5.0
0.605,19.0,25.0,3.56,0.55,12.9,5.0
0.44,3.0,11.0,3.48,0.85,11.7,6.0
0.62,51.0,148.0,3.17,0.93,9.2,5.0
0.63,11.0,44.0,3.47,0.55,10.4,6.0
0.36,4.0,8.0,3.36,0.55,12.8,7.0
0.43,6.0,39.0,3.33,0.46,11.9,6.0
0.42,28.0,90.0,3.15,0.57,9.1,5.0
0.54,41.0,110.0,3.08,0.61,9.2,5.0
0.31,6.0,10.0,3.31,0.68,11.2,7.0
1.02,6.0,11.0,3.48,0.49,11.0,3.0
0.72,24.0,52.0,3.35,0.94,10.0,5.0
0.965,11.0,22.0,3.26,0.5,9.5,5.0
0.59,11.0,22.0,3.0,0.7,9.3,6.0
0.55,26.0,35.0,3.32,0.82,11.6,6.0
0.63,29.0,65.0,3.28,0.58,9.6,5.0
0.62,6.0,13.0,3.66,0.62,10.1,4.0
0.575,12.0,65.0,3.29,0.51,9.2,5.0
0.42,12.0,29.0,3.24,0.75,11.7,7.0
0.64,15.0,26.0,3.57,0.63,12.0,5.0
0.7,5.0,15.0,3.32,0.6,9.0,6.0
0.62,8.0,24.0,3.48,0.53,9.0,5.0
0.76,15.0,54.0,3.26,0.65,9.8,5.0
0.4,15.0,49.0,3.03,0.81,9.7,6.0
1.115,5.0,12.0,3.54,0.6,11.2,4.0
0.29,6.0,17.0,3.22,0.63,11.8,6.0
0.34,3.0,9.0,3.38,0.66,11.6,7.0
0.51,29.0,40.0,3.42,0.75,11.0,6.0
0.43,29.0,63.0,3.37,0.58,10.5,6.0
0.36,20.0,65.0,3.4,0.54,10.1,6.0
0.52,29.0,56.0,3.15,0.79,12.1,7.0
0.49,20.0,136.0,2.93,1.95,9.9,6.0
0.38,13.0,30.0,3.23,0.73,9.7,7.0
0.6,31.0,131.0,3.21,0.52,9.9,5.0
0.29,10.0,26.0,3.48,0.91,9.7,5.0
0.835,6.0,14.0,3.3,0.52,9.3,5.0
0.67,13.0,20.0,3.42,0.67,11.3,6.0
0.55,7.0,28.0,3.28,0.55,9.7,5.0
0.49,4.0,14.0,3.3,0.47,10.5,5.0
0.53,29.0,44.0,3.38,0.83,10.3,6.0
0.69,18.0,94.0,3.31,0.48,9.5,5.0
0.35,27.0,69.0,3.12,0.75,10.4,6.0
1.005,11.0,32.0,3.23,0.48,10.0,5.0
0.58,27.0,60.0,3.28,0.59,9.8,5.0
0.63,21.0,119.0,3.09,0.52,9.3,5.0
0.5,23.0,42.0,2.92,0.68,10.5,7.0
0.73,16.0,42.0,3.44,0.52,9.3,5.0
0.5,5.0,14.0,3.19,0.44,9.6,5.0
0.52,13.0,38.0,3.34,0.52,9.3,5.0
0.38,10.0,41.0,3.17,0.68,9.8,6.0
0.88,30.0,147.0,3.24,0.53,9.4,5.0
0.3,12.0,25.0,3.26,0.84,11.7,7.0
0.98,35.0,152.0,3.25,0.48,9.4,5.0
0.56,10.0,86.0,3.37,0.62,9.5,5.0
0.68,15.0,29.0,3.41,0.52,11.1,4.0
0.6,11.0,73.0,3.2,0.45,9.3,5.0
0.855,15.0,23.0,3.54,0.6,11.0,6.0
0.3,19.0,72.0,3.39,0.72,11.8,6.0
0.46,9.0,37.0,3.66,0.65,9.8,5.0
0.35,28.0,48.0,3.43,0.54,10.0,4.0
0.78,5.0,15.0,3.37,0.56,11.3,5.0
0.55,21.0,66.0,3.25,0.56,9.2,5.0
0.38,12.0,42.0,3.16,0.61,10.3,5.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.66,23.0,113.0,3.13,0.48,9.2,5.0
0.34,43.0,113.0,3.32,0.79,11.1,5.0
0.61,30.0,69.0,3.22,0.5,10.0,6.0
0.18,15.0,58.0,3.37,0.78,11.8,6.0
0.42,33.0,98.0,3.2,0.95,9.2,5.0
0.59,12.0,74.0,3.14,0.54,9.4,5.0
0.42,24.0,148.0,3.16,0.57,11.3,6.0
0.65,13.0,40.0,3.44,0.6,9.1,5.0
0.57,10.0,79.0,3.29,0.69,9.5,6.0
0.735,10.0,41.0,3.24,0.71,9.8,6.0
0.26,6.0,19.0,3.12,0.82,9.3,6.0
0.31,13.0,33.0,3.27,0.66,10.0,6.0
0.39,25.0,50.0,3.2,0.83,10.9,6.0
0.24,6.0,24.0,3.15,0.9,11.0,7.0
0.5,21.0,39.0,3.33,0.83,11.1,6.0
0.18,7.0,15.0,3.22,0.64,10.1,6.0
0.59,35.0,73.0,3.28,0.7,9.5,6.0
0.51,12.0,27.0,3.33,0.59,12.8,6.0
0.4,41.0,54.0,3.38,0.86,10.5,6.0
0.71,14.0,35.0,3.47,0.55,9.4,5.0
0.56,15.0,105.0,3.33,0.54,9.5,5.0
0.57,17.0,119.0,3.26,0.57,9.3,5.0
0.73,18.0,102.0,3.26,0.59,9.3,5.0
0.34,6.0,15.0,2.94,0.66,9.2,6.0
0.53,3.0,19.0,3.16,0.46,9.8,5.0
0.24,6.0,22.0,3.21,1.05,10.8,7.0
0.47,14.0,28.0,3.18,0.8,11.2,5.0
0.59,27.0,43.0,3.42,0.58,10.7,6.0
0.5,21.0,39.0,3.33,0.83,11.1,6.0
0.39,10.0,29.0,3.26,0.74,9.8,5.0
0.55,15.0,35.0,3.36,0.59,9.7,6.0
0.53,10.0,17.0,3.07,0.56,11.7,6.0
0.5,17.0,99.0,3.63,0.63,13.0,5.0
0.34,6.0,12.0,3.52,0.63,10.7,5.0
0.27,6.0,18.0,3.2,1.13,12.0,7.0
0.61,48.0,59.0,3.61,0.7,11.5,6.0
0.655,5.0,35.0,3.25,0.42,9.6,5.0
0.83,17.0,43.0,3.33,0.6,10.4,6.0
0.58,9.0,32.0,3.13,0.55,9.5,5.0
0.64,5.0,11.0,3.37,0.69,10.1,7.0
0.96,15.0,60.0,3.36,0.44,10.9,5.0
0.5,10.0,42.0,3.18,0.62,9.5,5.0
0.695,3.0,13.0,3.49,0.52,9.2,5.0
0.56,12.0,47.0,3.19,0.93,9.5,5.0
0.6,20.0,110.0,3.3,1.17,10.2,5.0
0.685,9.0,22.0,3.34,0.6,9.7,5.0
0.46,26.0,49.0,3.05,0.57,9.6,4.0
0.32,3.0,8.0,3.15,0.73,11.4,6.0
0.685,3.0,12.0,3.31,0.65,9.55,6.0
0.5,15.0,26.0,3.36,0.45,9.5,5.0
0.815,48.0,90.0,3.38,0.62,10.8,5.0
0.415,17.0,43.0,3.06,0.8,10.0,6.0
0.35,20.0,53.0,3.42,0.65,11.0,6.0
0.4,6.0,24.0,3.04,0.6,9.3,6.0
0.38,6.0,15.0,3.3,0.64,11.4,6.0
0.6,13.0,98.0,3.45,0.62,9.5,5.0
0.71,22.0,31.0,3.38,0.58,10.0,6.0
0.31,5.0,16.0,3.15,0.81,12.5,7.0
0.5,3.0,22.0,3.25,0.63,9.2,5.0
0.63,6.0,33.0,3.09,0.57,9.4,5.0
0.615,7.0,42.0,3.07,0.73,10.0,7.0
0.49,9.0,67.0,3.17,0.53,9.4,5.0
0.59,24.0,94.0,3.55,0.53,9.7,6.0
0.615,9.0,18.0,3.46,0.65,9.2,5.0
0.86,13.0,28.0,3.25,0.62,10.0,5.0
0.775,12.0,48.0,3.18,0.51,9.6,5.0
0.775,8.0,23.0,3.45,0.56,10.7,5.0
0.59,11.0,18.0,3.41,0.59,10.8,7.0
0.56,13.0,29.0,3.42,0.62,11.7,7.0
0.51,13.0,31.0,3.36,0.54,10.5,6.0
0.47,6.0,47.0,3.3,0.68,12.7,6.0
0.62,7.0,54.0,3.36,0.52,9.4,5.0
0.4,13.0,62.0,3.07,0.63,10.5,6.0
0.84,5.0,13.0,3.41,0.57,11.0,4.0
0.58,17.0,36.0,3.24,0.53,11.2,6.0
0.73,12.0,24.0,3.38,0.46,9.6,4.0
0.785,10.0,21.0,3.29,0.67,10.0,5.0
0.33,5.0,22.0,3.26,0.74,11.2,7.0
0.56,7.0,22.0,3.46,0.61,10.2,5.0
0.69,3.0,10.0,3.35,0.6,9.7,6.0
0.69,19.0,27.0,3.44,0.67,9.8,5.0
0.24,25.0,57.0,3.39,0.54,9.2,5.0
0.24,6.0,21.0,3.25,1.02,10.8,7.0
0.47,17.0,110.0,3.29,0.6,9.8,5.0
0.3,37.5,289.0,3.01,0.51,12.3,7.0
0.39,17.0,35.0,3.1,0.61,10.8,6.0
0.715,30.0,35.0,3.48,0.65,11.4,6.0
0.54,55.0,95.0,3.18,0.77,9.0,6.0
0.6,5.0,15.0,3.36,0.49,9.1,5.0
0.59,25.0,48.0,3.14,0.56,9.7,5.0
0.41,26.0,45.0,3.38,0.64,10.1,6.0
0.37,18.0,82.0,3.33,0.68,9.7,6.0
0.35,46.0,102.0,3.27,0.58,9.5,5.0
0.57,27.0,73.0,3.32,0.48,9.2,5.0
0.31,34.0,60.0,3.34,0.85,11.4,6.0
0.63,14.0,38.0,3.37,0.58,9.0,6.0
